,Unnamed: 0,firstSeen,lastSeen,icao24,callsign,estDepartureAirport,estArrivalAirport,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription,day
1577,1577,2021-11-10 18:14:31+00:00,2021-11-10 18:34:57+00:00,4012d2,GBVVK,,EGPF,G-BVVK,VIKING (2),De Havilland Canada,DHC-6 SERIES 310 Twin Otter,DHC6,666,,L2T,Flybe,JERSEY,BEE,BE,Flybe,,1997-04-07,,,1980-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-27&nbsp;&nbsp;( HARTZELL HC-B3TN-3D/T10282B+0 )<br>,False,False,False,,,10
1578,1578,2021-11-10 14:44:10+00:00,2021-11-10 18:51:42+00:00,40717b,EXS4JU,,EGPF,,,,,,,,,,,,,,,,,,,,,,False,False,False,,Large (75000 to 300000 lbs),10
1579,1579,2021-11-10 18:04:30+00:00,2021-11-10 19:03:04+00:00,40658a,CFE9V,EGLC,EGPF,G-LCYP,EMBRAER,Embraer Sa,ERJ 190-100 SR Embraer 190,E190,19000443,,L2J,,FLYER,CFE,,Ba Cityflyer,,2011-06-25,,,2011-01-01,,,2 x GENERAL ELECTRIC CO CF34-10E5A1<br>,False,False,False,,No ADS-B Emitter Category Information,10
1580,1580,2021-11-10 14:17:45+00:00,2021-11-10 19:10:44+00:00,407179,EXS23BT,,EGPF,,,,,,,,,,,,,,,,,,,,,,False,False,False,,Large (75000 to 300000 lbs),10
1581,1581,2021-11-10 19:10:16+00:00,2021-11-10 19:33:58+00:00,4063c3,CFE7331,EGAC,EGPF,G-LCYN,EMBRAER,Empresa Brasileira De Aeronautica Sa,ERJ 190-100 SR Embraer 190,E190,19000392,,L2J,,FLYER,CFE,,Ba Cityflyer,,2010-11-08,,,2010-01-01,,,2 x GENERAL ELECTRIC CO CF34-10E5A1<br>,False,False,False,,,10
1582,1582,2021-11-10 18:30:48+00:00,2021-11-10 19:36:54+00:00,400eff,EZY569Q,EGKK,EGPF,G-EZBE,AIRBUS,Airbus Sas,AIRBUS A319-111,A319,2884,,L2J,,EASY,EZY,,Easyjet Airline,,2006-11-28,,,2006-01-01,,,2 x CFM CFM56-5B5/P<br>,False,False,False,,No ADS-B Emitter Category Information,10
1583,1583,2021-11-10 15:48:52+00:00,2021-11-10 19:46:11+00:00,4070ec,EXS82YD,,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,10
1584,1584,2021-11-10 18:48:15+00:00,2021-11-10 19:49:56+00:00,400d8c,EZY903H,EGGD,EGPF,G-EZAB,AIRBUS,Airbus Sas,AIRBUS A319-111,A319,2681,,L2J,,EASY,EZY,,Easyjet Airline,,2006-02-06,,,2006-01-01,,,2 x CFM CFM56-5B5/P<br>,False,False,False,,No ADS-B Emitter Category Information,10
1585,1585,2021-11-10 19:42:37+00:00,2021-11-10 20:08:23+00:00,45c822,MMD2723,EGPD,EGPF,OY-RAB,DASSAULT,Dassault,Falcon 7X,FA7X,78,,L3J,Air Alsie,MERMAID,MMD,,Air Alsie,,,,,,,,,False,False,False,,Small (15500 to 75000 lbs),10
1586,1586,2021-11-10 15:44:32+00:00,2021-11-10 20:52:23+00:00,407177,EXS57SM,LCLK,EGPF,,,,,,,,,,,,,,,,,,,,,,False,False,False,,Large (75000 to 300000 lbs),10
1587,1587,2021-11-10 20:27:09+00:00,2021-11-10 20:55:18+00:00,406b91,EZY735Z,EGAA,EGPF,G-EZWY,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,6267,,L2J,,EASY,EZY,,Easyjet Airline,,2017-06-12,,,2014-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,10
1588,1588,2021-11-10 20:31:41+00:00,2021-11-10 21:31:31+00:00,406279,CFE93G,EGLC,EGPF,G-LCYM,EMBRAER,Empresa Brasileira De Aeronautica Sa,ERJ 190-100 SR Embraer 190,E190,19000351,,L2J,,FLYER,CFE,,Ba Cityflyer,,2010-05-27,,,2010-01-01,,,2 x GENERAL ELECTRIC CO CF34-10E5A1<br>,False,False,False,,No ADS-B Emitter Category Information,10
1589,1589,2021-11-10 17:25:44+00:00,2021-11-10 21:34:58+00:00,406015,EZY19HC,,EGPF,G-EZTK,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,3991,,L2J,,EASY,EZY,,Easyjet Airline,,2009-07-24,,,2009-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,10
1590,1590,2021-11-10 20:24:36+00:00,2021-11-10 21:37:57+00:00,484acb,KLM49J,EHAM,EGPF,PH-EZA,EMBRAER,Embraer,Embraer EMB-190 STD,E190,19000224,,L2J,,CITY,KLC,,Klm Cityhopper,,,,,,,,,False,False,False,,,10
1591,1591,2021-11-10 20:44:41+00:00,2021-11-10 21:41:41+00:00,400f00,EZY656C,EGGW,EGPF,G-EZBF,AIRBUS,Airbus Sas,AIRBUS A319-111,A319,2923,,L2J,,EASY,EZY,,Easyjet Airline,,2006-11-02,,,2006-01-01,,,2 x CFM CFM56-5B5/P<br>,False,False,False,,No ADS-B Emitter Category Information,10
1592,1592,2021-11-10 20:48:36+00:00,2021-11-10 21:45:06+00:00,4063de,SHT6M,EGLL,EGPF,G-EUYJ,AIRBUS,Airbus Sas,AIRBUS A320-232,A320,4464,,L2J,,SPEEDBIRD,BAW,,British Airways,,2010-10-28,,,2010-01-01,,,2 x INTERNATIONAL AERO ENGINE V2527-A5<br>,False,False,False,,No ADS-B Emitter Category Information,10
1593,1593,2021-11-10 21:01:30+00:00,2021-11-10 21:54:38+00:00,405a49,SHT6N,EGLL,EGPF,G-EUYA,AIRBUS,Airbus Sas,AIRBUS A320-232,A320,3697,,L2J,,SPEEDBIRD,BAW,,British Airways,,2008-11-24,,,2008-01-01,,,2 x INTERNATIONAL AERO ENGINE V2527-A5<br>,False,False,False,,No ADS-B Emitter Category Information,10
1594,1594,2021-11-10 21:21:52+00:00,2021-11-10 22:22:45+00:00,40756b,EZY606Z,EGSS,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,10
1595,1595,2021-11-10 23:21:53+00:00,2021-11-10 23:42:19+00:00,4077c7,HLE05,,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,10
1596,1596,2021-11-10 15:35:16+00:00,2021-11-11 02:44:48+00:00,ab496a,RKS6,RJTT,EGPF,N826ZF,,Bombardier Inc,BD-700-1A10,,9796,,,,,,,Wilmington Trust Co Trustee,,,2024-07-31,,2017-01-01,,,ROLLS DEUT BR700-710A220,False,False,False,,,11
1597,1597,2021-11-11 06:16:46+00:00,2021-11-11 07:18:52+00:00,4070ed,EXS053C,EGGD,EGPF,G-JZHZ,BOEING,Boeing Company,BOEING 737-800,B738,63156,,L2J,,CHANNEX,EXS,,Jet2,,2017-06-23,,,2016-01-01,,,2 x CFM CFM56-7B26E<br>,False,False,False,,Large (75000 to 300000 lbs),11
